,bed rooms,baths,square feet,address,price
193,3,2,2364,"100 E Huron Street 2904 Chicago, IL 60611",1050000.0
194,3,3,2100,"4345 N Albany Avenue Chicago, IL 60618",930000.0
195,2,2,1651,"1244 W Monroe Street 6 Chicago, IL 60607",624995.0
196,1,1,1200,"1208 S Federal Street A Chicago, IL 60605",479000.0
197,2,2,1700,"3448 N Monticello Avenue Chicago, IL 60618",475000.0
198,3,1,1548,"2237 S Stewart Avenue Chicago, IL 60616",430000.0
199,4,2,1559,"5729 N Menard Avenue Chicago, IL 60646",430000.0
200,3,2,1480,"1101 S State Street 1300 Chicago, IL 60605",410000.0
201,4,2,1200,"6210 W 64th Street Chicago, IL 60638",350000.0
202,2,2,1450,"4755 N Kilbourn Avenue 3-D Chicago, IL 60630",349000.0
203,5,1,1900,"7606 S Luella Avenue Chicago, IL 60649",325000.0
204,4,3,2950,"418 W Englewood Avenue Chicago, IL 60621",313000.0
205,3,2,1288,"8722 S Constance Avenue Chicago, IL 60617",265000.0
206,1,1,870,"1524 S Sangamon Street 615 Chicago, IL 60608",259888.0
207,4,2,1888,"7219 S Ellis Avenue Chicago, IL 60620",249900.0
208,1,1,648,"20 E Goethe Street 603 Chicago, IL 60610",239000.0
209,3,1,1100,"9214 S Woodlawn Avenue Chicago, IL 60619",205000.0
210,1,1,941,"801 S PLYMOUTH Court 718 Chicago, IL 60605",200000.0
211,5,2,2005,"11322 S Lowe Avenue Chicago, IL 60628",130000.0
212,3,1,1500,"10016 S Yale Avenue Chicago, IL 60628",67000.0
213,3,1,1048,"1519 S 58th Avenue Cicero, IL 60804",300000.0
214,3,4,3200,"550 N Saint Clair Street Unit 2602 Chicago, IL 60611",1299900.0
215,5,3,2730,"3025 N Lowell Avenue Chicago, IL 60641",580000.0
216,5,2,1128,"6554 W 60th Place Chicago, IL 60638",418000.0
217,4,2,2131,"11456 S Emerald Avenue Chicago, IL 60628",279900.0
218,3,1,1019,"300 W 42nd Place Chicago, IL 60609",169999.0
219,2,1,1024,"5343 N Nashville Avenue Chicago, IL 60656",455000.0
220,1,2,930,"303 W Ohio Street , 2805 Chicago, IL 60654",350000.0
221,5,4,8000,"1736 N Wood Street Chicago, IL 60622",5395000.0
222,4,3,3557,"21 N May Street 402 Chicago, IL 60607",2399000.0
223,2,3,3400,"1600 S Prairie Avenue 2404 Chicago, IL 60616",2250000.0
224,4,3,3500,"1307 W Schubert Avenue Chicago, IL 60614",1575000.0
225,3,2,2518,"1456 N Wieland Street P1 Chicago, IL 60610",999000.0
226,3,2,2400,"1514 W Thomas Street PH Chicago, IL 60642",987000.0
227,3,3,2000,"2035 N Leavitt Street 2 Chicago, IL 60647",899000.0
228,3,2,2000,"1124 W Fry Street 1 Chicago, IL 60642",770000.0
229,3,3,3000,"3920 N Lake Shore Drive 3S Chicago, IL 60613",699000.0
230,2,2,1342,"60 E Monroe Street 3308 Chicago, IL 60603",680000.0
231,5,3,2250,"722 N TRUMBULL Avenue Chicago, IL 60624",499900.0
232,2,2,1155,"225 S SANGAMON Street 606 Chicago, IL 60607",495000.0
233,5,4,4207,"8643 S Euclid Avenue Chicago, IL 60617",480000.0
234,4,2,1350,"4938 W Eddy Street Chicago, IL 60641",425000.0
235,2,2,1350,"700 W Grand Avenue 3W Chicago, IL 60654",424995.0
236,1,1,950,"1200 N Lake Shore Drive 705 Chicago, IL 60610",405000.0
237,2,2,1200,"20 N STATE Street 411 Chicago, IL 60602",399900.0
238,3,2,2252,"4543 W Schubert Avenue Chicago, IL 60639",395000.0
239,4,2,1500,"7421 W FOSTER Avenue Harwood Heights, IL 60706",375000.0
240,3,2,1949,"907 W Ainslie Street 1 Chicago, IL 60640",375000.0
241,1,1,845,"1200 W Monroe Street 319 Chicago, IL 60607",365000.0
242,1,1,1100,"331 S Peoria Street 401 Chicago, IL 60607",365000.0
243,3,2,1220,"2725 N McVicker Avenue Chicago, IL 60639",365000.0
244,5,3,3000,"8250 S Rhodes Avenue Chicago, IL 60619",359900.0
245,2,1,996,"1061 W 16th Street 307 Chicago, IL 60608",350000.0
246,1,1,841,"3914 N Broadway Street 2A Chicago, IL 60613",349000.0
247,3,2,970,"1719 N Leclaire Avenue Chicago, IL 60639",345000.0
248,2,2,1200,"7410 W LAWRENCE Avenue 222 Harwood Heights, IL 60706",329900.0
249,3,1,1280,"1829 W Hood Avenue A Chicago, IL 60660",329900.0
250,1,1,1019,"1727 S Indiana Avenue 207 Chicago, IL 60616",325000.0
251,2,2,1446,"1642 E 85th Street Chicago, IL 60617",319000.0
252,3,2,1800,"7822 S EMERALD Avenue Chicago, IL 60620",295000.0
253,1,1,800,"1250 W Van Buren Street 407 Chicago, IL 60607",275000.0
254,4,2,1377,"3758 W 55th Place Chicago, IL 60629",275000.0
255,2,1,1200,"7110 W Cullom Avenue 111 Norridge, IL 60706",260000.0
256,5,2,2400,"414 N Lockwood Avenue Chicago, IL 60644",235000.0
257,3,1,1036,"701 W 92nd Street Chicago, IL 60620",215000.0
258,3,1,1038,"3949 S Artesian Avenue Chicago, IL 60632",199900.0
259,4,2,1408,"301 W 117th Street Chicago, IL 60628",89900.0
260,3,1,981,"9686 S Luella Avenue Chicago, IL 60617",85000.0
261,1,1,700,"7209 S Yates Boulevard 2B Chicago, IL 60649",50000.0
262,1,1,700,"7219 S Yates Boulevard 3A Chicago, IL 60649",50000.0
263,4,5,4000,"554 W Grant Place Chicago, IL 60614",1849000.0
264,2,2,1102,"2020 N Lincoln Park West Unit 13M Chicago, IL 60614",449000.0
265,3,2,1690,"723 E 91st Place Chicago, IL 60619",129998.0
266,3,2,1024,"8124 S Laflin Street Chicago, IL 60620",129900.0
267,3,3,2000,"3913 W 57th Place Chicago, IL 60629",439900.0
268,3,2,1887,"5505 W Henderson Street Chicago, IL 60641",439000.0
269,2,1,1000,"1958 W Norwood Street , 3B Chicago, IL 60660",195000.0
270,4,4,4600,"3004 S Canal Street Chicago, IL 60616",1250000.0
271,4,4,4800,"1440 N Lake Shore Drive 22ABCD Chicago, IL 60610",995000.0
272,3,3,3072,"7516 W Winnemac Avenue Harwood Heights, IL 60706",849000.0
273,3,2,2200,"1440 N State Parkway 7D Chicago, IL 60610",595000.0
274,3,1,1500,"2323 W Farragut Avenue Chicago, IL 60625",435000.0
275,3,2,1175,"2543 S Wallace Street 9 Chicago, IL 60616",300000.0
276,2,1,1000,"4229 N Keystone Avenue 2H Chicago, IL 60641",192000.0
277,1,1,800,"6171 N Sheridan Road 404 Chicago, IL 60660",160000.0
278,3,2,680,"6750 S Loomis Boulevard Chicago, IL 60636",92000.0
279,3,2,784,"7149 S Honore Street Chicago, IL 60636",65000.0
280,4,3,1858,"8456 W Brodman Avenue Chicago, IL 60656",500000.0
281,2,1,1045,"6157 N Sheridan Road Unit 2Q Chicago, IL 60660",215000.0
282,2,1,950,"13533 S Buffalo Avenue Chicago, IL 60633",185000.0
283,5,4,3800,"7211 W Ibsen Street Chicago, IL 60631",919000.0
284,3,2,1850,"2414 N Sawyer Avenue 2B Chicago, IL 60647",850000.0
285,1,1,1011,"401 N WABASH Avenue 46B Chicago, IL 60611",649900.0
286,4,2,2200,"5708 W Byron Street Chicago, IL 60634",600000.0
287,2,2,1300,"1604 W Augusta Boulevard 2W Chicago, IL 60622",499000.0
288,3,1,1335,"6032 N Whipple Street Chicago, IL 60659",425000.0
289,3,2,1250,"1752 W Cullerton Street 2 Chicago, IL 60608",375000.0
290,3,3,2315,"7252 S Sawyer Avenue Chicago, IL 60629",364900.0
291,4,2,1600,"9115 S May Street Chicago, IL 60620",349900.0
